geoid,centroid_lat,centroid_lon
17031160100,41.964628,-87.742796
17031160200,41.958793,-87.738399
17031160300,41.957268,-87.730895
17031160400,41.957366,-87.722824
17031160700,41.950409,-87.702014
17031221300,41.921126,-87.699754
17031221500,41.921647,-87.689952
17031221400,41.920801,-87.694532
17031250600,41.905693,-87.77063
17031250700,41.905821,-87.760813
17031250800,41.906186,-87.751474
17031251000,41.898694,-87.744892
17031251100,41.898625,-87.752011
17031051400,41.935749,-87.680989
17031060100,41.957531,-87.666612
17031060300,41.950605,-87.671333
17031060800,41.95341,-87.646056
17031160800,41.950213,-87.712815
17031160900,41.950082,-87.722608
17031161000,41.949977,-87.730683
17031161100,41.94988,-87.738155
17031161200,41.942549,-87.73857
17031161300,41.942699,-87.731002
17031170100,41.95586,-87.794817
17031221600,41.921248,-87.685098
17031242100,41.89967,-87.669838
17031242000,41.899737,-87.664954
17031251200,41.898549,-87.760604
17031251300,41.898425,-87.770385
17031051300,41.935997,-87.67584
17031600700,41.840832,-87.660746
17031600900,41.836513,-87.653143
17031672000,41.761198,-87.671128
17031710900,41.742146,-87.63969
17031711000,41.739643,-87.648581
17031711300,41.733504,-87.667285
17031711400,41.733661,-87.652117
17031271200,41.87736,-87.703562
17031271300,41.877304,-87.708452
17031271400,41.877243,-87.713332
17031350100,41.841749,-87.608421
17031350400,41.841929,-87.62837
17031351000,41.834782,-87.605979
17031351400,41.827402,-87.624091
17031360200,41.826886,-87.609888
17031430400,41.762196,-87.590309
17031430600,41.764414,-87.571374
17031430800,41.76075,-87.571298
17031430500,41.764314,-87.58127
17031430900,41.760641,-87.581186
17031610300,41.816178,-87.675102
17031681000,41.77604,-87.649549
17031681100,41.768767,-87.64936
17031680500,41.790564,-87.652351
17031720100,41.727616,-87.674735
17031720200,41.713042,-87.666055
17031720300,41.71392,-87.677145
17031720400,41.709992,-87.686668
17031720500,41.702835,-87.689101
17031720600,41.702776,-87.677206
17031720700,41.703107,-87.665139
17031040600,41.966834,-87.684019
17031040700,41.966808,-87.694078
17031040800,41.963157,-87.692287
17031380100,41.820202,-87.610098
17031380200,41.820573,-87.614985
17031431200,41.755301,-87.571184
17031431400,41.758024,-87.552343
17031050100,41.957845,-87.676373
17031610800,41.812711,-87.638403
17031611300,41.804936,-87.667303
17031611400,41.804893,-87.672167
17031611500,41.805382,-87.678732
17031611900,41.797743,-87.659823
17031681200,41.769189,-87.638497
17031810400,41.981529,-87.829741
17031810600,41.964225,-87.7961
17031381200,41.808511,-87.613999
17031381400,41.80762,-87.62143
17031283100,41.869274,-87.664093
17031283800,41.863417,-87.653755
17031691200,41.754439,-87.63218
17031691100,41.761713,-87.629872
17031730100,41.725195,-87.638425
17031730300,41.72747,-87.664569
17031730400,41.71784,-87.652648
17031730500,41.714266,-87.638138
17031730600,41.7106,-87.650486
17031381700,41.80555,-87.627447
17031440300,41.743722,-87.619543
17031612000,41.797847,-87.652537
17031612100,41.797912,-87.64768
17031620100,41.798018,-87.718026
17031620200,41.795521,-87.729234
17031620300,41.789502,-87.730444
17031620400,41.789638,-87.718168
17031810501,41.960281,-87.825986
17031810502,41.959585,-87.810459
17031730700,41.703082,-87.650079
17031740100,41.697286,-87.698608
17031740200,41.704702,-87.712706
17031740300,41.69507,-87.710724
17031740400,41.687239,-87.719316
17031381800,41.803849,-87.621199
17031381900,41.803954,-87.613886
17031390100,41.813844,-87.590631
17031390200,41.813041,-87.599476
17031390300,41.813201,-87.604209
17031390400,41.805924,-87.604058
17031390500,41.805978,-87.599199
17031390600,41.806018,-87.59435
17031390700,41.805902,-87.587476
17031440600,41.732672,-87.619138
