"pin","year","class","township_code","case_no","hearing_type","subkey","appeal_type","status","mailed_bldg","mailed_land","mailed_tot","certified_bldg","certified_land","certified_tot","change","reason_code1","reason_desc1","reason_code2","reason_desc2","reason_code3","reason_desc3","agent_code","agent_name","row_id"
"04273060070000","2003","207","25","120","Current year appeal","1","residential",,"65662","8671","74333","65662","8671","74333","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"042730600700002003120A1"
"04273070010000","2003","278","25","204","Current year appeal","1","residential",,"55753","10129","65882","55753","10129","65882","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042730700100002003204A1"
"04273080050000","2003","209","25","222","Current year appeal","1","residential",,"77032","13977","91009","77032","13977","91009","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042730800500002003222A1"
"04273080060000","2003","209","25","9000069","Current year appeal","1","residential",,"105954","14593","120547","10595","14593","25188","change","5","This is the result of the partial occupancy of your property.",,,,,,,"0427308006000020039000069A1"
"04273090060000","2003","278","25","6000174","Current year appeal","1","residential",,"66067","12863","78930","66067","12863","78930","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"0427309006000020036000174A1"
"04274020010000","2003","208","25","650","Current year appeal","1","residential",,"86183","11130","97313","86183","11130","97313","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042740200100002003650A1"
"04274030140000","2003","278","25","837","Current year appeal","1","residential",,"60475","10634","71109","44025","10634","54659","change","5","This is the result of the partial occupancy of your property.",,,,,,,"042740301400002003837A1"
"04274060030000","2003","278","25","704","Current year appeal","1","residential",,"62829","9155","71984","62829","9155","71984","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"042740600300002003704A1"
"04274070040000","2003","278","25","6000887","Current year appeal","1","residential",,"31477","10815","42292","31477","10815","42292","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"0427407004000020036000887A1"
"04274070130000","2003","100","25","775","Current year appeal","1","land",,"0","2470","2470","0","1","1","change","18","This is due to lack of data having been submitted for our review.","11","This is the result of an income, market or cost analysis.",,,,,"042740701300002003775A1"
"04274080020000","2003","208","25","6000155","Current year appeal","1","residential",,"63483","13087","76570","63483","13087","76570","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"0427408002000020036000155A1"
"04274090010000","2003","208","25","526","Current year appeal","1","residential",,"72393","13440","85833","64550","13440","77990","change","1","This is the result of an analysis of comparable properties.",,,,,,,"042740900100002003526A1"
"04274110060000","2003","278","25","9000017","Current year appeal","1","residential",,"64757","9391","74148","63442","9391","72833","change","1","This is the result of an analysis of comparable properties.",,,,,,,"0427411006000020039000017A1"
"04274110150000","2003","208","25","190","Current year appeal","1","residential",,"70226","10400","80626","67073","10400","77473","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"042741101500002003190A1"
"04274110160000","2003","208","25","77","Current year appeal","1","residential",,"70966","10400","81366","70966","10400","81366","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"04274110160000200377A1"
"04274110180000","2003","208","25","9000169","Current year appeal","1","residential",,"70965","10400","81365","67073","10400","77473","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"0427411018000020039000169A1"
"04274110190000","2003","208","25","625","Current year appeal","1","residential",,"66912","10334","77246","66912","10334","77246","no change","16","This is due to your property's uniformity with comparable properties.","16","This is due to your property's uniformity with comparable properties.",,,,,"042741101900002003625A1"
"04274130010000","2003","208","25","9000748","Current year appeal","1","residential",,"72393","11392","83785","64557","11392","75949","change","1","This is the result of an analysis of comparable properties.",,,,,,,"0427413001000020039000748A1"
"04274130050000","2003","208","25","529","Current year appeal","1","residential",,"72393","10880","83273","64550","10880","75430","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"042741300500002003529A1"
"04274140050000","2003","208","25","702","Current year appeal","1","residential",,"72393","14415","86808","64550","14415","78965","change","1","This is the result of an analysis of comparable properties.",,,,,,,"042741400500002003702A1"
"04274160170000","2003","278","25","9000840","Current year appeal","1","residential",,"55753","9646","65399","55753","9646","65399","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"0427416017000020039000840A1"
"04274190060000","2003","208","25","245","Current year appeal","1","residential",,"68034","11057","79091","47896","11057","58953","change","1","This is the result of an analysis of comparable properties.",,,,,,,"042741900600002003245A1"
"04274200010000","2003","208","25","9000244","Current year appeal","1","residential",,"67395","9125","76520","23049","9125","32174","change","5","This is the result of the partial occupancy of your property.",,,,,,,"0427420001000020039000244A1"
"04274200020000","2003","278","25","195","Current year appeal","1","residential",,"63055","8594","71649","60103","8594","68697","change","16","This is due to your property's uniformity with comparable properties.","1","This is the result of an analysis of comparable properties.",,,,,"042742000200002003195A1"
"04274200040000","2003","208","25","583","Current year appeal","1","residential",,"67375","8707","76082","67375","8707","76082","no change","20","This is due to the absence of or an incomplete Attorney/Representative Authorization form.",,,,,,,"042742000400002003583A1"
"04274200070000","2003","208","25","631","Current year appeal","1","residential",,"68649","8592","77241","68649","8592","77241","no change","16","This is due to your property's uniformity with comparable properties.","16","This is due to your property's uniformity with comparable properties.",,,,,"042742000700002003631A1"
"04274200080000","2003","208","25","9000045","Current year appeal","1","residential",,"67395","8592","75987","67395","8592","75987","no change","23","This is due to conflict between characteristics provided and our recent field inspection.","16","This is due to your property's uniformity with comparable properties.",,,,,"0427420008000020039000045A1"
"04274220010000","2003","208","25","162","Current year appeal","1","residential",,"70944","13277","84221","70944","13277","84221","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"042742200100002003162A1"
"04274220050000","2003","208","25","159","Current year appeal","1","residential",,"70944","11025","81969","70944","11025","81969","no change","17","This is due to your property's uniformity with comparable properties. The analysis included an update of your property's characteristics.",,,,,,,"042742200500002003159A1"
"04274240090000","2003","208","25","463","Current year appeal","1","residential",,"74504","11339","85843","74504","11339","85843","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042742400900002003463A1"
"04274240100000","2003","208","25","462","Current year appeal","1","residential",,"74504","9357","83861","74504","9357","83861","no change","16","This is due to your property's uniformity with comparable properties.",,,,,,,"042742401000002003462A1"
"04274240120000","2003","278","25","75","Current year appeal","1","residential",,"74504","8907","83411","67394","8907","76301","change","2","This is the result of an analysis of comparable properties. The decrease includes an update of your property's characteristics.",,,,,,,"04274240120000200375A1"
"04274240140000","2003","278","25","232","Current year appeal","1","residential",,"80142","8753","88895","65818","8753","74571","change","12","This is the result of a change in classification.",,,,,,,"042742401400002003232A1"
