activity_year,census_tract,group,applications,denials,originations,orig_dollars
2018,17031040700,White (non-Hispanic),72,9,63,23555000.0
2018,17031040800,Asian,3,0,3,1065000.0
2018,17031040800,Other / Joint,3,1,2,260000.0
2018,17031040800,Race not available,6,1,5,3015000.0
2018,17031040800,White (non-Hispanic),36,2,34,11970000.0
2018,17031040900,Asian,2,0,2,410000.0
2018,17031040900,Latino/Hispanic,1,0,1,235000.0
2018,17031040900,Other / Joint,1,0,1,735000.0
2018,17031040900,Race not available,10,0,10,6870000.0
2018,17031040900,White (non-Hispanic),41,9,32,12690000.0
2018,17031050100,Asian,2,0,2,550000.0
2018,17031050100,Latino/Hispanic,3,1,2,1020000.0
2018,17031050100,Other / Joint,2,0,2,780000.0
2018,17031050100,Race not available,9,1,8,13980000.0
2018,17031050100,White (non-Hispanic),62,13,49,23395000.0
2018,17031050200,Asian,8,4,4,2310000.0
2018,17031050200,Black,1,1,0,0.0
2018,17031050200,Latino/Hispanic,5,1,4,1620000.0
2018,17031050200,Other / Joint,5,1,4,2540000.0
2018,17031050200,Race not available,25,4,21,11255000.0
2018,17031050200,White (non-Hispanic),127,12,113,56285000.0
2018,17031050300,Asian,4,0,4,1950000.0
2018,17031050300,Latino/Hispanic,5,1,4,1110000.0
2018,17031050300,Other / Joint,3,0,3,1115000.0
2018,17031050300,Race not available,18,5,13,7905000.0
2018,17031050300,White (non-Hispanic),71,16,53,22655000.0
2018,17031050500,Asian,7,3,4,1130000.0
2018,17031050500,Latino/Hispanic,6,0,6,1830000.0
2018,17031050500,Other / Joint,7,1,6,5960000.0
2018,17031050500,Race not available,25,4,19,9065000.0
2018,17031050500,White (non-Hispanic),101,12,88,47560000.0
2018,17031050600,Asian,7,3,4,1200000.0
2018,17031050600,Black,1,0,1,195000.0
2018,17031050600,Latino/Hispanic,6,2,4,1040000.0
2018,17031050600,Other / Joint,3,0,3,635000.0
2018,17031050600,Race not available,23,3,19,12275000.0
2018,17031050600,White (non-Hispanic),92,10,80,30610000.0
2018,17031050700,Asian,3,1,2,520000.0
2018,17031050700,Other / Joint,5,3,2,580000.0
2018,17031050700,Race not available,7,0,7,4995000.0
2018,17031050700,White (non-Hispanic),46,6,37,14995000.0
2018,17031050800,Asian,5,1,4,3150000.0
2018,17031050800,Latino/Hispanic,1,1,0,0.0
2018,17031050800,Race not available,10,1,8,6220000.0
2018,17031050800,White (non-Hispanic),41,7,33,17125000.0
2018,17031050900,Asian,2,1,1,225000.0
2018,17031050900,Latino/Hispanic,3,0,3,1095000.0
2018,17031050900,Other / Joint,4,1,3,1245000.0
2018,17031050900,Race not available,6,1,5,1975000.0
2018,17031050900,White (non-Hispanic),40,6,33,17815000.0
2018,17031051000,Asian,1,0,1,405000.0
2018,17031051000,Black,1,0,1,395000.0
2018,17031051000,Latino/Hispanic,4,1,2,1070000.0
2018,17031051000,Other / Joint,2,0,2,1800000.0
2018,17031051000,Race not available,11,1,10,6360000.0
2018,17031051000,White (non-Hispanic),48,8,39,16475000.0
2018,17031051100,Asian,1,0,1,305000.0
2018,17031051100,Other / Joint,4,1,2,1660000.0
2018,17031051100,Race not available,4,0,4,1970000.0
