"id","tif_district","project_name","address","developer","project_description","cdc_date","coc_date","approved_amount","total_project_cost","tif_subsidy_percentage","affordable_units","ward","community_area","x_coordinate","y_coordinate","latitude","longitude","location"
"19452","Near North","After School Matters Orleans Center (TIF)","1065 N Orleans St","After School Matters Inc.","After School Matters will renovate a new youth center in the Cabrini Green neighborhood to provide approximately 2,100 paid out-of-school time program opportunities for Chicago teens annually and invest in the economic development of a historically disenfranchised community. The Orleans Teen Center will serve as a model for youth development programs across the city and state.","2025-09-25T00:00:00.000",,"5000000","25965779","19.26",,"27","Near North Side","1173748.6828273856","1907658.380784572","41.9020298052","-87.6372356462","
,  
(41.90202980522749, -87.6372356462376)"
"18606","LaSalle Central","135 S LaSalle","135 S La Salle St","Riverside Investment & Development, AmTrust RE, and DL3 Realty","The Development Team is proposing an adaptive reuse and conversion of approximately 485,000  square feet of the building to commercial and residential uses. On lower level one, the ground level, and level two, the project will feature 92,000 square feet dedicated to a small format grocer, health/fitness center, medical office, and spa. A parking garage will be located on levels three and four for up to 177 cars.  Floors five through 15, will be converted into 386 residential units, of which 116 (30%) will be affordable to households with an average income of under 60% of the AMI.","2025-09-25T00:00:00.000",,"98000000","241566116","40.57","116","34","Loop","1175195.3565975868","1899647.9657344024","41.8800164539","-87.632162307","
,  
(41.88001645393784, -87.63216230695389)"
"14179","Galewood/Armitage Industrial","IGA - CPD - Amundsen (Roald)","6200 W Bloomingdale Av","Chicago Park District","Located in Austin, the project includes installing a replacement playground.","2021-03-24T00:00:00.000","2022-04-05T00:00:00.000","110000","110000","100",,"29","Austin","1134782.764508551","1911356.2369677492","41.9129556172","-87.7802768112","
,  
(41.91295561718631, -87.78027681122344)"
"14982","Stony Island Avenue Commercial and Burnside Industrial Corridors","IGA - CPD - Burnside Park","9400 S Greenwood Av","Chicago Park District","Construction of new water feature and site improvement throughout the park.","2022-02-23T00:00:00.000",,"800000","800000","100",,"8","Burnside","1185144.4690349773","1842879.0474707156","41.7240093725","-87.5974156579","
,  
(41.724009372546895, -87.59741565790664)"
"19832","Lincoln Avenue","Mather Park - Field Improvement","5941 N Richmond St","Chicago Park District","Mather Park supports robust baseball and softball programs. The local High School and community leagues will benefit from the planned upgrades. Improved park amenities to providing upgrades to the courts, fields and lighting to enhance and encourage active recreation.  Other site amenities such as the courts and paths will also renew.","2025-12-10T00:00:00.000",,"2750000","2750000","100",,"40","West Ridge","1155652.8149565363","1939258.8014653358","41.9891272023","-87.7028504804","
,  
(41.989127202300466, -87.70285048044002)"
"15304","South Chicago","SACRED Apartments","9230 S Burley Av","The Interfaith Housing Development Corporation of Chicago; Claretian Associates","Sustainable Affordable Commercial Real Estate Development (SACRED). All 81 units will be tax credit eligible with 60% of the units targeted to households at or below 50% of the area median income. 17 of the 81 units will be set aside for formerly homeless households.","2024-10-02T00:00:00.000",,"5000000","48592921","10.29","81","10","South Chicago","1199239.9545889755","1844230.2809009152","41.7273750022","-87.545740262","
,  
(41.72737500221097, -87.54574026200476)"
"16103","Avalon Park/South Shore","Thrive Exchange South-ISW","7901 S Exchange Av","DL3 Realty Advisors, LLC","Thrive Exchange South includes the new construction of a six-story mid-rise building located at the southwest corner of 79th Street and Exchange Avenue. Thrive Exchange South will provide 43 units of affordable workforce housing in a high amenity building, with a mix of unit sizes, including studios, 1-, and 2-bedroom apartments.","2024-12-02T00:00:00.000",,"13100000","35832370","36.56","43","7","South Chicago","1197245.3921905516","1853120.7178618705","41.7518209021","-87.5527510825","
,  
(41.75182090208318, -87.55275108248676)"
"15300","Austin Commercial","Austin United Alliance ISW","5206 W Chicago Av","Heartland Housing, Inc","6-story, 78-unit, new construction, mixed-income apartment building in Chicago's Austin neighborhood. To be built alongside rehab of existing bank building (phase II).","2023-11-08T00:00:00.000",,"12900000","51685202","24.96","50","37","Austin","1141451.2099085655","1904870.8284074098","41.8950383033","-87.7559385257","
,  
(41.89503830329873, -87.75593852568055)"
"15318","47th and King Drive","43 Green Phase II","311 E 43rd St","The Habitat Company","Sponsored by a joint venture between P3 Markets and The Habitat Company, 43 Green is a proposed 80-unit mixed-income transit-oriented development with 3,579 sq ft of ground-floor commercial space.","2023-09-13T00:00:00.000","2024-05-22T00:00:00.000","10000000","30995989","32.26","44","3","Grand Boulevard","1178895.098900848","1876526.1804927418","41.8164849699","-87.6192834119","
,  
(41.81648496987126, -87.61928341194012)"
"16134","Lincoln Avenue","American Blues Theater","5627 N Lincoln Av","American Blues Theater, NFP","The Developer is proposing to redevelop a former Dollar General store in to an approximately 18,000 sq. ft. theater to be used by the American Blues Theater. This will primarily result in the construction and development of two separate theaters, including a 148-seat proscenium and a 40-seat studio space. Additional components will also result in the construction of back-of-the-house operations space, including dressing rooms and production for equipment and costumes; office space for the organization; a bar and concessions sales; restrooms; and a box office.","2023-02-01T00:00:00.000","2025-04-02T00:00:00.000","2500000","7058613","35.42",,"40","West Ridge","1157532.0062069483","1937326.5510802008","41.9837868507","-87.6959914201","
,  
(41.983786850727384, -87.69599142013564)"
