start_station_id,start_station_name,trips,member_trips,casual_trips,classic_trips,electric_trips,docked_trips,rtype_other_trips,mean_start_lat,mean_start_lng,coord_n,dist_sum_m,dist_n
15534,Field Blvd & South Water St,4623,2510,2113,2453,2170,0,0,41.886345,-87.617524,4623,10310954.1,4614
TA1307000136,Clark St & Wellington Ave,4580,3173,1407,2722,1858,0,0,41.936483,-87.647557,4580,10332319.8,4576
chargingstx1,Bissell St & Armitage Ave*,4566,3079,1487,2734,1832,0,0,41.918323,-87.652169,4566,8783447.6,4563
TA1307000107,Sheridan Rd & Montrose Ave,4546,3144,1402,2397,2149,0,0,41.961636,-87.654630,4546,9739615.1,4542
TA1309000035,Clark St & Winnemac Ave,4520,2965,1555,2026,2494,0,0,41.973342,-87.667852,4520,10833594.2,4519
13028,900 W Harrison St,4512,3303,1209,2631,1881,0,0,41.874749,-87.649830,4512,6229324.2,4507
TA1307000038,Sedgwick St & North Ave,4498,2935,1563,2930,1568,0,0,41.911370,-87.638673,4498,9114467.9,4493
LP-,Lincoln Park Conservatory,4483,1959,2524,3041,1442,0,0,41.923953,-87.635834,4483,12417466.8,4475
13154,Sheffield Ave & Kingsbury St,4482,3245,1237,2605,1877,0,0,41.910521,-87.653123,4482,9817461.4,4479
15539,Desplaines St & Jackson Blvd,4457,3337,1120,2562,1895,0,0,41.878110,-87.644006,4457,7869271.9,4449
13192,Halsted St & Dickens Ave,4438,2955,1483,2318,2120,0,0,41.919952,-87.648837,4438,9388769.1,4434
TA1309000007,Franklin St & Monroe St,4437,3496,941,2140,2297,0,0,41.880272,-87.635295,4437,8700811.0,4429
13191,Sedgwick St & Webster Ave,4281,2879,1402,2564,1717,0,0,41.922155,-87.638914,4281,9596128.1,4279
TA1309000002,Michigan Ave & Jackson Blvd,4265,2010,2255,2996,1269,0,0,41.877891,-87.624156,4265,7933466.2,4248
TA1307000124,Michigan Ave & 14th St,4252,2842,1410,2715,1537,0,0,41.864084,-87.623729,4252,8553030.1,4249
13221,Wood St & Milwaukee Ave,4242,2912,1330,1969,2273,0,0,41.907641,-87.672525,4242,10704363.4,4235
TA1305000020,Ogden Ave & Chicago Ave,4221,2867,1354,2228,1993,0,0,41.896360,-87.654055,4221,9060351.5,4215
15576,Lakefront Trail & Bryn Mawr Ave,4202,2270,1932,2658,1544,0,0,41.984037,-87.652290,4202,16967616.5,4198
