NAME,B19013_001E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,state,county,tract
"Census Tract 1702, Cook County, Illinois",90625,1293,1053,240,1293,0,17,031,170200
"Census Tract 1703, Cook County, Illinois",95328,1838,1442,396,1949,111,17,031,170300
"Census Tract 1704, Cook County, Illinois",105524,1609,1434,175,1740,131,17,031,170400
"Census Tract 1705, Cook County, Illinois",85395,2076,1474,602,2135,59,17,031,170500
"Census Tract 1706, Cook County, Illinois",78187,965,860,105,976,11,17,031,170600
"Census Tract 1707, Cook County, Illinois",82284,1153,916,237,1208,55,17,031,170700
"Census Tract 1708, Cook County, Illinois",71897,1498,1220,278,1553,55,17,031,170800
"Census Tract 1709, Cook County, Illinois",61771,638,423,215,669,31,17,031,170900
"Census Tract 1710, Cook County, Illinois",82790,2697,2058,639,3095,398,17,031,171000
"Census Tract 1711, Cook County, Illinois",94830,1343,1012,331,1369,26,17,031,171100
"Census Tract 1801, Cook County, Illinois",97301,2289,1483,806,2387,98,17,031,180100
"Census Tract 1901, Cook County, Illinois",53717,857,202,655,908,51,17,031,190100
"Census Tract 1902, Cook County, Illinois",82551,1623,891,732,1689,66,17,031,190200
"Census Tract 1903, Cook County, Illinois",68281,2051,987,1064,2158,107,17,031,190300
"Census Tract 1904.01, Cook County, Illinois",104231,1292,1030,262,1367,75,17,031,190401
"Census Tract 1904.02, Cook County, Illinois",60316,1791,828,963,1925,134,17,031,190402
"Census Tract 1906.01, Cook County, Illinois",73607,1001,733,268,1148,147,17,031,190601
"Census Tract 1906.02, Cook County, Illinois",73315,1581,1129,452,1603,22,17,031,190602
"Census Tract 1907.01, Cook County, Illinois",67868,889,386,503,989,100,17,031,190701
"Census Tract 1907.02, Cook County, Illinois",65551,1501,704,797,1571,70,17,031,190702
"Census Tract 1908, Cook County, Illinois",56311,1907,937,970,2067,160,17,031,190800
"Census Tract 1909, Cook County, Illinois",64375,611,266,345,682,71,17,031,190900
"Census Tract 1910, Cook County, Illinois",66632,731,410,321,780,49,17,031,191000
"Census Tract 1911, Cook County, Illinois",53683,1898,613,1285,2082,184,17,031,191100
"Census Tract 1912, Cook County, Illinois",64688,1077,441,636,1124,47,17,031,191200
"Census Tract 1913.01, Cook County, Illinois",65240,1587,810,777,1666,79,17,031,191301
"Census Tract 1913.02, Cook County, Illinois",58208,1180,594,586,1275,95,17,031,191302
"Census Tract 2001, Cook County, Illinois",72417,1297,760,537,1465,168,17,031,200100
"Census Tract 2002, Cook County, Illinois",65599,1728,768,960,1780,52,17,031,200200
"Census Tract 2003, Cook County, Illinois",39740,721,216,505,741,20,17,031,200300
"Census Tract 2004.01, Cook County, Illinois",73384,931,450,481,980,49,17,031,200401
