NAME,B19013_001E,B25003_002E,B25003_003E,state,county,tract
Census Tract 131.01; Dallas County; Texas,233068,1062,110,48,113,013101
Census Tract 131.02; Dallas County; Texas,163214,660,206,48,113,013102
Census Tract 131.04; Dallas County; Texas,150208,282,847,48,113,013104
Census Tract 131.06; Dallas County; Texas,65952,344,620,48,113,013106
Census Tract 131.07; Dallas County; Texas,50823,275,2699,48,113,013107
Census Tract 132.01; Dallas County; Texas,168837,914,60,48,113,013201
Census Tract 132.02; Dallas County; Texas,88073,742,2290,48,113,013202
Census Tract 133; Dallas County; Texas,250001,663,27,48,113,013300
Census Tract 134; Dallas County; Texas,250001,597,20,48,113,013400
Census Tract 135; Dallas County; Texas,250001,850,13,48,113,013500
Census Tract 136.05; Dallas County; Texas,178558,1658,88,48,113,013605
Census Tract 136.06; Dallas County; Texas,86871,1395,957,48,113,013606
Census Tract 136.07; Dallas County; Texas,144313,1027,342,48,113,013607
Census Tract 136.08; Dallas County; Texas,144681,849,251,48,113,013608
Census Tract 136.09; Dallas County; Texas,89375,520,576,48,113,013609
Census Tract 136.10; Dallas County; Texas,80053,984,496,48,113,013610
Census Tract 136.11; Dallas County; Texas,137327,889,430,48,113,013611
Census Tract 136.15; Dallas County; Texas,60929,424,2024,48,113,013615
Census Tract 136.17; Dallas County; Texas,153484,729,410,48,113,013617
Census Tract 136.18; Dallas County; Texas,71797,629,662,48,113,013618
Census Tract 136.19; Dallas County; Texas,153654,1612,304,48,113,013619
Census Tract 136.20; Dallas County; Texas,84672,740,3409,48,113,013620
Census Tract 136.21; Dallas County; Texas,70376,552,1824,48,113,013621
Census Tract 136.22; Dallas County; Texas,66371,445,1321,48,113,013622
Census Tract 136.24; Dallas County; Texas,80536,335,2163,48,113,013624
Census Tract 136.25; Dallas County; Texas,62250,0,1427,48,113,013625
Census Tract 136.26; Dallas County; Texas,73971,33,1439,48,113,013626
Census Tract 136.27; Dallas County; Texas,72375,23,776,48,113,013627
Census Tract 136.28; Dallas County; Texas,81794,342,3892,48,113,013628
Census Tract 136.29; Dallas County; Texas,59201,549,631,48,113,013629
Census Tract 136.30; Dallas County; Texas,60769,143,1367,48,113,013630
Census Tract 136.31; Dallas County; Texas,53887,0,725,48,113,013631
Census Tract 137.15; Dallas County; Texas,100984,632,65,48,113,013715
Census Tract 137.16; Dallas County; Texas,94667,1377,487,48,113,013716
Census Tract 137.17; Dallas County; Texas,65848,367,561,48,113,013717
Census Tract 137.18; Dallas County; Texas,63694,311,876,48,113,013718
Census Tract 137.19; Dallas County; Texas,60227,798,1086,48,113,013719
Census Tract 137.20; Dallas County; Texas,74508,969,1027,48,113,013720
Census Tract 137.21; Dallas County; Texas,117951,1935,237,48,113,013721
Census Tract 137.22; Dallas County; Texas,63993,438,1790,48,113,013722
Census Tract 137.25; Dallas County; Texas,55723,277,1750,48,113,013725
Census Tract 137.26; Dallas County; Texas,87898,689,715,48,113,013726
Census Tract 137.27; Dallas County; Texas,89831,574,1539,48,113,013727
Census Tract 137.28; Dallas County; Texas,73556,593,795,48,113,013728
Census Tract 137.29; Dallas County; Texas,76974,1319,1380,48,113,013729
Census Tract 138.04; Dallas County; Texas,92361,885,122,48,113,013804
Census Tract 138.05; Dallas County; Texas,61829,0,2461,48,113,013805
Census Tract 138.06; Dallas County; Texas,78200,121,1993,48,113,013806
Census Tract 138.07; Dallas County; Texas,117527,913,35,48,113,013807
Census Tract 138.08; Dallas County; Texas,102778,972,242,48,113,013808
Census Tract 139.01; Dallas County; Texas,69079,692,372,48,113,013901
Census Tract 139.02; Dallas County; Texas,90795,1152,177,48,113,013902
Census Tract 140.01; Dallas County; Texas,95772,1049,614,48,113,014001
Census Tract 140.02; Dallas County; Texas,103672,488,907,48,113,014002
Census Tract 141.19; Dallas County; Texas,130114,1172,483,48,113,014119
