"mohcd_development_id","development_name","marketing_address","marketing_zip_code","supervisor_district","city_analysis_marketing","planning_neighborhood","ocii_project_area","lead_agency_account_name","tenure","project_status","development_type","general_housing_program","housing_program_program_name","multiphase_or_multisite_project_name","estimated_actual_construction","total_project_units","income_restricted_resid_units","sro_units_rollup","studios_units_rollup","_1_bedroom_units_rollup","_2_bedroom_units_rollup","_3_bedroom_units_rollup","_4_bedroom_units_rollup","_5_bedroom_units_rollup","treatment_beds","senior_units_rollup","tay_units_rollup","homeless_units_rollup","losp_units_rollup","vash_units_rollup","latitude","longitude","location"
"1983-008","65 Hermann","65 Herman St","94102","8","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,"1983-07-21T00:00:00.000","12","2","0","0","0","2","0","0","0","0","0","0","0","0","0","37.77048825","-122.4261","POINT (-122.4261 37.77048825)"
"2001-011","665 Clay","665 Clay St","94111","3","Chinatown","Financial District","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-07-29T00:00:00.000","26","25","11","12","1","1","0","0","0","0","0","0","0","0","0","37.79429272","-122.4040423","POINT (-122.4040423 37.79429272)"
"2013-028","666 Ellis","666 Ellis St","94109","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Rental Assistance Demonstration Program",,"2018-02-22T00:00:00.000","99","99","0","77","22","0","0","0","0","0","0","0","0","0","0","37.78444999","-122.4171552","POINT (-122.4171552 37.78444999)"
"1997-002","672-676 Clipper","672-676 Clipper St","94114","8","Noe Valley","Noe Valley","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2000-08-04T00:00:00.000","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","37.74888708","-122.4393417","POINT (-122.4393417 37.74888708)"
"2014-030","682 Page","682 Page St","94117","5","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2016-12-30T00:00:00.000","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","37.77301236","-122.4318313","POINT (-122.4318313 37.77301236)"
"1988-009","682 Waller","682 Waller St","94117","5","Haight Ashbury","Western Addition","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Rehabilitation","Other Ownership Programs","Condo Conversion Program",,,"1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.7707397","-122.4348066","POINT (-122.4348066 37.7707397)"
"1993-001","68 McCoppin","68 McCoppin St","94103","6","Mission","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-08-14T00:00:00.000","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","37.77185926","-122.421808","POINT (-122.421808 37.77185926)"
"2003-006","69 Clementina","69 Clementina St","94105","6","Financial District/South Beach","Financial District","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2005-01-01T00:00:00.000","2","2","0","1","0","1","0","0","0","0","0","0","0","0","0","37.78645877","-122.3964259","POINT (-122.3964259 37.78645877)"
"2004-010","6 Mint Plaza","6 Mint Plz","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Adaptive Reuse","Inclusionary Housing","Inclusionary Housing Program",,,"3","3","0","0","3","0","0","0","0","0","0","0","0","0","0","37.78296113","-122.4077041","POINT (-122.4077041 37.78296113)"
"2015-016","70-72C Belcher","70-72C Belcher St","94114","8","Castro/Upper Market","Castro/Upper Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (Preservation)","Small Sites Program",,"2020-02-28T00:00:00.000","5","5","0","0","0","5","0","0","0","0","0","0","0","0","0","37.76810095","-122.43054","POINT (-122.43054 37.76810095)"
"1981-004","70 Moss","70 Moss St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD/SFRA","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2018-05-30T00:00:00.000","5","5","0","0","4","0","0","1","0","0","0","0","0","0","0","37.77746582","-122.4078933","POINT (-122.4078933 37.77746582)"
"1998-002","70 Ocean Avenue","70 Ocean Ave","94112","11","Outer Mission","Outer Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2000-01-31T00:00:00.000","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","37.72388444","-122.4369516","POINT (-122.4369516 37.72388444)"
"2017-017","719 Larkin Street","719 Larkin St","94109","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2019-07-15T00:00:00.000","6","6","0","0","6","0","0","0","0","0","0","0","0","0","0","37.78454646","-122.418016","POINT (-122.418016 37.78454646)"
"2006-014","723 Taylor","723 Taylor St","94108","3","Nob Hill","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2011-01-05T00:00:00.000","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","37.78920469","-122.4121217","POINT (-122.4121217 37.78920469)"
"2006-019","725 Pine","725 Pine St","94108","3","Nob Hill","Chinatown","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2007-09-12T00:00:00.000","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","37.79110601","-122.4076585","POINT (-122.4076585 37.79110601)"
"2013-017","72 Townsend","72 Townsend St","94107","6","Financial District/South Beach","South of Market","Rincon Point-South Beach","OCII","Ownership","Construction Complete","New Construction","Other Ownership Programs","Limited Equity Program",,"2016-12-06T00:00:00.000","7","7","0","0","3","4","0","0","0","0","0","0","0","0","0","37.78107243","-122.3901029","POINT (-122.3901029 37.78107243)"
"2017-045","730 Stanyan","730 Stanyan St","94117","5","Haight Ashbury","Haight Ashbury","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2025-09-05T00:00:00.000","161","160","0","35","43","42","40","0","0","0","0","23","32","32","0","37.76874685","-122.4530091","POINT (-122.4530091 37.76874685)"
"2013-053","735 Davis Senior (88 Broadway Senior)","735 Davis St","94111","3","Financial District/South Beach","North Beach","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2021-07-30T00:00:00.000","52","52","0","24","28","0","0","0","0","0","52","0","15","15","0","37.79921725","-122.3990551","POINT (-122.3990551 37.79921725)"
"1984-007","735 Ellis","735 Ellis St","94109","5","Tenderloin","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","Rehabilitation","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2001-02-27T00:00:00.000","31","30","0","24","6","0","0","0","0","0","0","0","0","0","0","37.78390892","-122.4182445","POINT (-122.4182445 37.78390892)"
"2000-005","745 Clement","745 Clement St","94118","1","Inner Richmond","Inner Richmond","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2002-07-18T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.78246291","-122.4672827","POINT (-122.4672827 37.78246291)"
"2005-009","74 New Montgomery","74 New Montgomery St","94105","6","Financial District/South Beach","Financial District","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","Adaptive Reuse","Inclusionary Housing","Inclusionary Housing Program",,"2010-08-31T00:00:00.000","11","11","0","4","5","2","0","0","0","0","0","0","0","0","0","37.78767089","-122.4009853","POINT (-122.4009853 37.78767089)"
"2015-025","750 Harrison Street","750 Harrison St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2018-10-01T00:00:00.000","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","37.78177256","-122.3985417","POINT (-122.3985417 37.78177256)"
"2007-006","75 Moss","75 Moss St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-05-15T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.77754851","-122.4075457","POINT (-122.4075457 37.77754851)"
"2003-024","776 Tehama","776 Tehama St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2006-08-08T00:00:00.000","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","37.77490226","-122.4123041","POINT (-122.4123041 37.77490226)"
"2015-011","777 Tenn","777 Tennessee St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2020-08-13T00:00:00.000","8","8","0","0","4","3","1","0","0","0","0","0","0","0","0","37.76201828","-122.3894066","POINT (-122.3894066 37.76201828)"
"2004-022","77 Bluxome","77 Bluxome St","94107","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2008-07-23T00:00:00.000","10","10","0","10","0","0","0","0","0","0","0","0","0","0","0","37.77633641","-122.3971657","POINT (-122.3971657 37.77633641)"
"2002-005","77 Van Ness","77 Van Ness Ave","94102","6","Hayes Valley","Downtown/Civic Center","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2009-08-25T00:00:00.000","6","6","0","0","4","2","0","0","0","0","0","0","0","0","0","37.77609727","-122.4196263","POINT (-122.4196263 37.77609727)"
"1997-003","788 8th","788 8th Ave","94118","1","Inner Richmond","Inner Richmond","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1984-11-13T00:00:00.000","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","37.77368427","-122.4656958","POINT (-122.4656958 37.77368427)"
"2005-001","788 Minna","788 Minna St","94103","6","South of Market","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2011-07-28T00:00:00.000","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","37.77602977","-122.413961","POINT (-122.413961 37.77602977)"
"2017-038","78 Haight St (Parcel U)","78 Haight St","94102","6","Hayes Valley","Western Addition","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","MOHCD 100% Affordable (New Development)","Multifamily Rental Program",,"2025-12-04T00:00:00.000","64","64","0","58","5","0","1","0","0","0","0","0","32","32","0","37.77325451","-122.4234438","POINT (-122.4234438 37.77325451)"
"2017-033","793 South Van Ness","793 South Van Ness Ave","94110","9","Mission","Mission","Not in an OCII Project Area","MOHCD","Rental","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2022-06-28T00:00:00.000","11","11","0","0","7","4","0","0","0","0","0","0","0","0","0","37.76067284","-122.4166418","POINT (-122.4166418 37.76067284)"
"2014-028","815 Tennessee","815 Tennessee St","94107","10","Potrero Hill","Potrero Hill","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"2019-11-05T00:00:00.000","10","10","0","0","4","5","1","0","0","0","0","0","0","0","0","37.76123474","-122.3890822","POINT (-122.3890822 37.76123474)"
"1994-001","81 Lansing Street","81 Lansing St","94105","6","Financial District/South Beach","South of Market","Not in an OCII Project Area","MOHCD","Ownership","Construction Complete","New Construction","Inclusionary Housing","Inclusionary Housing Program",,"1996-02-12T00:00:00.000","3","3","0","0","3","0","0","0","0","0","0","0","0","0","0","37.78566677","-122.3942429","POINT (-122.3942429 37.78566677)"
